model,candidate,family,site,lr,seed,epoch,strength,cal_score,cal_changed,cal_harm,cal_all_correct,fit_score,fit_loss,train_loss,saturation,realized_norm,visits,steps
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,3,1.0,0.7986111111111109,0.8819444444444443,0.08333333333333333,0.6666666666666666,0.9713541666666666,0.037382231102936224,0.08251994955963937,0.36129551398109033,70.90683374228894,2304,576
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,3,2.0,0.6458333333333333,0.8194444444444443,0.17361111111111108,0.3333333333333333,0.9713541666666666,0.037382231102936224,0.08251994955963937,0.36129551398109033,141.8128368038459,2304,576
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,4,0.5,0.4722222222222222,0.5347222222222222,0.0625,0.16666666666666666,0.984375,0.02545478721368255,0.029078524742317313,0.38141219070609533,36.28620746031704,3072,768
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,4,1.0,0.8749999999999999,0.9444444444444443,0.06944444444444445,0.7916666666666666,0.984375,0.02545478721368255,0.029078524742317313,0.38141219070609533,72.57093618380144,3072,768
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,4,2.0,0.7013888888888888,0.8541666666666666,0.15277777777777776,0.375,0.984375,0.02545478721368255,0.029078524742317313,0.38141219070609533,145.14166324410664,3072,768
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,1,0.5,0.29166666666666663,0.3333333333333333,0.041666666666666664,0.041666666666666664,0.875,0.13865941052362984,0.8897265996580472,0.6871856769261718,49.64532654837474,768,192
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,1,1.0,0.7013888888888888,0.8125,0.1111111111111111,0.5416666666666666,0.875,0.13865941052362984,0.8897265996580472,0.6871856769261718,99.28832725950535,768,192
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,1,2.0,0.5138888888888887,0.7569444444444443,0.24305555555555555,0.2916666666666667,0.875,0.13865941052362984,0.8897265996580472,0.6871856769261718,198.575687482053,768,192
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,2,0.5,0.2986111111111111,0.3055555555555555,0.006944444444444444,0.0,0.9869791666666667,0.015729719216376264,0.09625351706597485,0.920036210018105,49.898201461806394,1536,384
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,2,1.0,0.8750000000000001,0.9444444444444445,0.06944444444444443,0.7083333333333334,0.9869791666666667,0.015729719216376264,0.09625351706597485,0.920036210018105,99.79280420717777,1536,384
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,2,2.0,0.513888888888889,0.8333333333333334,0.3194444444444444,0.3333333333333333,0.9869791666666667,0.015729719216376264,0.09625351706597485,0.920036210018105,199.5859061511571,1536,384
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,3,0.5,0.3611111111111111,0.3680555555555555,0.006944444444444444,0.041666666666666664,1.0,0.001986583967214036,0.016117664370483453,0.9316032991349829,50.5303441606112,2304,576
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,3,1.0,0.8958333333333334,0.9583333333333334,0.06249999999999999,0.75,1.0,0.001986583967214036,0.016117664370483453,0.9316032991349829,101.05997532286099,2304,576
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,3,2.0,0.5486111111111112,0.8333333333333334,0.2847222222222222,0.375,1.0,0.001986583967214036,0.016117664370483453,0.9316032991349829,202.1190081114737,2304,576
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,4,0.5,0.3611111111111111,0.3680555555555555,0.006944444444444444,0.041666666666666664,1.0,0.0011244519283977183,0.001590557388567504,0.94015288674311,50.5184300095843,3072,768
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,4,1.0,0.9027777777777779,0.9722222222222223,0.06944444444444443,0.75,1.0,0.0011244519283977183,0.001590557388567504,0.94015288674311,101.03662130576652,3072,768
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s0,PREFIX_DISTRIBUTED,15,0.001,0,4,2.0,0.5486111111111109,0.8402777777777777,0.2916666666666667,0.3333333333333333,1.0,0.0011244519283977183,0.001590557388567504,0.94015288674311,202.07236532876956,3072,768
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,1,0.5,0.4097222222222222,0.4930555555555555,0.08333333333333333,0.0,0.7942708333333334,0.2319781551185708,0.9804570411636178,0.6705894186280427,50.13793011519733,768,192
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,1,1.0,0.701388888888889,0.8958333333333334,0.19444444444444442,0.4583333333333333,0.7942708333333334,0.2319781551185708,0.9804570411636178,0.6705894186280427,100.27319322896484,768,192
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,1,2.0,0.5416666666666666,0.7777777777777777,0.23611111111111108,0.25,0.7942708333333334,0.2319781551185708,0.9804570411636178,0.6705894186280427,200.54638882771434,768,192
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,2,0.5,0.3680555555555555,0.4305555555555555,0.06249999999999999,0.08333333333333333,0.9296875,0.09403855840496315,0.1554891360970032,0.9517199758599879,50.76811750463191,1536,384
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,2,1.0,0.7847222222222223,0.8333333333333334,0.048611111111111105,0.5,0.9296875,0.09403855840496315,0.1554891360970032,0.9517199758599879,101.53188223806804,1536,384
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,2,2.0,0.611111111111111,0.798611111111111,0.1875,0.2916666666666667,0.9296875,0.09403855840496315,0.1554891360970032,0.9517199758599879,203.06328255058136,1536,384
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,3,0.5,0.3819444444444444,0.4236111111111111,0.041666666666666664,0.125,0.984375,0.026958916519648806,0.054503127096779735,0.9886340776503721,51.072422633235085,2304,576
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,3,1.0,0.8819444444444446,0.9305555555555557,0.048611111111111105,0.7916666666666666,0.984375,0.026958916519648806,0.054503127096779735,0.9886340776503721,102.14316729411183,2304,576
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,3,2.0,0.7152777777777777,0.8680555555555555,0.15277777777777776,0.375,0.984375,0.026958916519648806,0.054503127096779735,0.9886340776503721,204.28385664472643,2304,576
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,4,0.5,0.37499999999999994,0.40277777777777773,0.027777777777777776,0.125,0.9921875,0.01883770972406514,0.008149286493789987,0.9792798229732448,51.215362945659045,3072,768
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,4,1.0,0.888888888888889,0.9444444444444445,0.05555555555555555,0.6666666666666666,0.9921875,0.01883770972406514,0.008149286493789987,0.9792798229732448,102.43123552623211,3072,768
gemma,PREFIX_DISTRIBUTED@15_lr0.001_s1,PREFIX_DISTRIBUTED,15,0.001,1,4,2.0,0.5069444444444444,0.6875,0.18055555555555555,0.25,0.9921875,0.01883770972406514,0.008149286493789987,0.9792798229732448,204.86414507091445,3072,768
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,1,0.5,0.04861111111111111,0.04861111111111111,0.0,0.0,0.09375,0.952236961624294,2.500595216628426,0.24069603701468517,72.61682188750913,768,192
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,1,1.0,0.11805555555555557,0.14583333333333334,0.027777777777777776,0.0,0.09375,0.952236961624294,2.500595216628426,0.24069603701468517,145.24288469993027,768,192
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,1,2.0,0.11111111111111113,0.25,0.13888888888888887,0.0,0.09375,0.952236961624294,2.500595216628426,0.24069603701468517,290.48556699048754,768,192
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,2,0.5,0.041666666666666664,0.041666666666666664,0.0,0.0,0.3255208333333333,0.5743035039643777,0.7294761957018636,0.8177429088714544,78.53911973646024,1536,384
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,2,1.0,0.16666666666666663,0.45138888888888884,0.2847222222222222,0.0,0.3255208333333333,0.5743035039643777,0.7294761957018636,0.8177429088714544,157.0841651058837,1536,384
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,2,2.0,0.2777777777777778,0.6597222222222222,0.3819444444444444,0.0,0.3255208333333333,0.5743035039643777,0.7294761957018636,0.8177429088714544,314.1674997342513,1536,384
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,3,0.5,0.041666666666666664,0.041666666666666664,0.0,0.0,0.4166666666666667,0.5160149820282337,0.604169668367831,0.9218467109233555,79.33616807156761,2304,576
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,3,1.0,0.24999999999999994,0.5763888888888888,0.3263888888888889,0.041666666666666664,0.4166666666666667,0.5160149820282337,0.604169668367831,0.9218467109233555,158.64379231241725,2304,576
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,3,2.0,0.3680555555555557,0.7569444444444445,0.38888888888888884,0.125,0.4166666666666667,0.5160149820282337,0.604169668367831,0.9218467109233555,317.2957681233451,2304,576
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,4,0.5,0.048611111111111105,0.048611111111111105,0.0,0.0,0.5260416666666667,0.4566918538018096,0.5273768088663928,0.9513176423254879,79.34172232359047,3072,768
gemma,PREFIX_DISTRIBUTED@27_lr0.0003_s0,PREFIX_DISTRIBUTED,27,0.0003,0,4,1.0,0.27777777777777773,0.673611111111111,0.3958333333333333,0.041666666666666664,0.5260416666666667,0.4566918538018096,0.5273768088663928,0.9513176423254879,158.6834636886648,3072,768
