actor,format,endpoint,point,ci_low,ci_high,worlds,improvement_point,improvement_ci_low,improvement_ci_high
gemma,F2,target_swap_correct,1.0,1.0,1.0,48,0.1875,0.08333333333333333,0.3125
gemma,zero_shot_baseline,target_swap_correct,0.8125,0.6875,0.9166666666666666,48,,,
gemma,F1,role_permutation_transfer,1.0,1.0,1.0,48,0.296875,0.22916666666666666,0.359375
gemma,F2,role_permutation_transfer,1.0,1.0,1.0,48,0.296875,0.22916666666666666,0.359375
gemma,zero_shot_baseline,role_permutation_transfer,0.703125,0.640625,0.7708333333333334,48,,,
gemma,F1,order_crossed_transfer,1.0,1.0,1.0,48,0.10416666666666667,0.020833333333333332,0.20833333333333334
gemma,F2,order_crossed_transfer,0.9791666666666666,0.9375,1.0,48,0.08333333333333333,0.0,0.1875
gemma,zero_shot_baseline,order_crossed_transfer,0.8958333333333334,0.7916666666666666,0.9791666666666666,48,,,
gemma,F1,reporter_quoter_attribution,1.0,1.0,1.0,48,0.9895833333333334,0.96875,1.0
gemma,F2,reporter_quoter_attribution,1.0,1.0,1.0,48,0.9895833333333334,0.96875,1.0
gemma,zero_shot_baseline,reporter_quoter_attribution,0.0104166666666666,0.0,0.03125,48,,,
gemma,F1,negated_withheld_entailment_ba,1.0,1.0,1.0,48,0.46875,0.4270833333333333,0.5
gemma,F2,negated_withheld_entailment_ba,1.0,1.0,1.0,48,0.46875,0.4270833333333333,0.5
gemma,zero_shot_baseline,negated_withheld_entailment_ba,0.53125,0.5,0.5729166666666666,48,,,
gemma,F1,mapping_reversal_semantic_agreement,1.0,1.0,1.0,48,0.08333333333333333,0.020833333333333332,0.16666666666666666
gemma,F2,mapping_reversal_semantic_agreement,1.0,1.0,1.0,48,0.08333333333333333,0.020833333333333332,0.16666666666666666
gemma,zero_shot_baseline,mapping_reversal_semantic_agreement,0.9166666666666666,0.8333333333333334,0.9791666666666666,48,,,
gemma,F1,F1_mapping_semantic_agreement,1.0,1.0,1.0,48,,,
gemma,F2,F2_candidate_vs_generated_agreement,1.0,1.0,1.0,48,,,
gemma,F2,F2_generation_parse_rate,1.0,1.0,1.0,48,,,
gemma,F2,F2_generated_label_direct_ba,1.0,1.0,1.0,48,,,
gemma,F1,native_vs_frozen_dim_sign_agreement_new_activations,0.9846491228070176,0.9769736842105262,0.9912280701754388,48,,,
gemma,F2,native_vs_frozen_dim_sign_agreement_new_activations,0.9769736842105262,0.9692982456140352,0.9846491228070176,48,,,
gemma,F1,native_vs_frozen_dim_sign_agreement_baseline_activations,0.7445175438596491,0.7094298245614036,0.7796052631578947,48,,,
gemma,F2,native_vs_frozen_dim_sign_agreement_baseline_activations,0.7434210526315791,0.7083333333333334,0.7774122807017543,48,,,
gemma,F1,heldout_lexical_recall,1.0,1.0,1.0,48,0.9791666666666666,0.9479166666666666,1.0
gemma,F2,heldout_lexical_recall,1.0,1.0,1.0,48,0.9791666666666666,0.9479166666666666,1.0
gemma,zero_shot_baseline,heldout_lexical_recall,0.0208333333333333,0.0,0.0520833333333333,48,,,
gemma,F1,heldout_discourse_ba,1.0,1.0,1.0,48,0.5,0.5,0.5
gemma,F2,heldout_discourse_ba,1.0,1.0,1.0,48,0.5,0.5,0.5
gemma,zero_shot_baseline,heldout_discourse_ba,0.5,0.5,0.5,48,,,
gemma,F1,heldout_domain_ba,1.0,1.0,1.0,24,0.45064102564102565,0.4345535714285714,0.46526830808080805
gemma,F2,heldout_domain_ba,1.0,1.0,1.0,24,0.45064102564102565,0.4345535714285714,0.46526830808080805
gemma,zero_shot_baseline,heldout_domain_ba,0.5493589743589743,0.5347316919191919,0.5654464285714286,24,,,
gemma,F1,false_binary_opposite_rate,1.0,1.0,1.0,48,0.0,0.0,0.0
gemma,F2,false_binary_opposite_rate,1.0,1.0,1.0,48,0.0,0.0,0.0
gemma,zero_shot_baseline,false_binary_opposite_rate,1.0,1.0,1.0,48,,,
gemma,F1_dim_A_strict,sign_balanced_accuracy,0.9888888888888888,0.9832799145299146,0.9938034188034188,48,,,
gemma,F2_dim_A_strict,sign_balanced_accuracy,0.9840811965811967,0.9786858974358976,0.9895833333333334,48,,,
gemma,F1_dim_A_strict,same_context_dual_query_reversal,0.9791666666666666,0.9375,1.0,48,,,
gemma,F2_dim_A_strict,same_context_dual_query_reversal,0.9791666666666666,0.9375,1.0,48,,,
gemma,F1_dim_A_strict,holder_swap_correct,0.9791666666666666,0.9375,1.0,48,,,
gemma,F2_dim_A_strict,holder_swap_correct,1.0,1.0,1.0,48,,,
gemma,F1_dim_A_strict,target_swap_correct,0.75,0.625,0.875,48,,,
gemma,F2_dim_A_strict,target_swap_correct,0.6041666666666666,0.4791666666666667,0.75,48,,,
gemma,F1_dim_C_threshold_free,operator_sign_world_auroc,1.0,1.0,1.0,48,,,
gemma,F2_dim_C_threshold_free,operator_sign_world_auroc,1.0,1.0,1.0,48,,,
gemma,F1_dim_C_threshold_free,same_context_dual_query_reversal,1.0,1.0,1.0,48,,,
gemma,F2_dim_C_threshold_free,same_context_dual_query_reversal,1.0,1.0,1.0,48,,,
gemma,F1_dim_C_threshold_free,holder_swap_correct,1.0,1.0,1.0,48,,,
gemma,F2_dim_C_threshold_free,holder_swap_correct,1.0,1.0,1.0,48,,,
gemma,F1_dim_C_threshold_free,target_swap_correct,1.0,1.0,1.0,48,,,
gemma,F2_dim_C_threshold_free,target_swap_correct,1.0,1.0,1.0,48,,,
gemma,F1_dim_C_threshold_free,role_permutation_transfer,1.0,1.0,1.0,48,,,
gemma,F2_dim_C_threshold_free,role_permutation_transfer,1.0,1.0,1.0,48,,,
gemma,F1_dim_C_threshold_free,order_crossed_transfer,1.0,1.0,1.0,48,,,
gemma,F2_dim_C_threshold_free,order_crossed_transfer,1.0,1.0,1.0,48,,,
