actor,condition,arm,coverage,lr,seed,checkpoint,cal_changed,cal_harm,cal_all24,cal_all_program_questions,cal_dir0,cal_dir1,cal_by_family,cal_sparse_changed,cal_sparse_harm,cal_sparse_all12,feasible,selected,train_loss,reg_train,steps,slots,train_seconds,eval_seconds,realized_norm,frobenius
gemma,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,1,1,0.9635416666666666,0.005787037037037038,0.6666666666666666,0.6666666666666666,0.9409722222222222,0.986111111111111,"{""both"": 0.9833333333333333, ""direct"": 1.0, ""either"": 1.0, ""opposes"": 0.9916666666666667, ""same"": 0.9083333333333333}",0.9756944444444443,0.0023148148148148147,0.8958333333333334,True,True,0.017194554602676566,0.004840043729119416,720,2880,169.1151055700002,24.37526516899925,60.86489254019684,199.1216506558518
gemma,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,1,2,0.9565972222222222,0.006944444444444445,0.625,0.625,0.920138888888889,0.9930555555555555,"{""both"": 0.9875, ""direct"": 1.0, ""either"": 0.9958333333333333, ""opposes"": 0.9875, ""same"": 0.8791666666666667}",0.9722222222222223,0.006944444444444444,0.8333333333333334,True,False,0.0059708899752662446,0.003603940416198586,1440,5760,169.91368523999972,24.509568615000717,47.70558143345849,163.9494279241485
gemma,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,0,0,0.9444444444444445,0.011574074074074075,0.5625,0.5625,0.954861111111111,0.9340277777777777,"{""both"": 0.9458333333333333, ""direct"": 0.9958333333333333, ""either"": 0.9583333333333334, ""opposes"": 0.9916666666666667, ""same"": 0.8833333333333333}",0.9756944444444445,0.004629629629629629,0.875,True,True,,,0,0,0.0,24.351991023000664,79.3154899422115,249.4193129692427
gemma,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,0,1,0.907986111111111,0.010995370370370369,0.5416666666666666,0.5416666666666666,0.9618055555555557,0.8541666666666666,"{""both"": 0.9208333333333333, ""direct"": 0.9979166666666667, ""either"": 0.95, ""opposes"": 0.9875, ""same"": 0.8375}",0.9583333333333334,0.009259259259259259,0.8125,True,False,0.015814040038587034,0.007760967318123827,720,2880,169.12177283300025,24.52113254700089,78.06628384052226,247.59468240073153
gemma,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,0,2,0.904513888888889,0.008680555555555556,0.4791666666666667,0.4791666666666667,0.875,0.9340277777777778,"{""both"": 0.9541666666666667, ""direct"": 0.9875, ""either"": 0.9375, ""opposes"": 0.9833333333333333, ""same"": 0.85}",0.9513888888888888,0.003472222222222222,0.7708333333333334,True,False,0.006928866248218432,0.007341628163218653,1440,5760,169.73587527499967,24.36357921599938,64.07014758910549,215.33057642883983
gemma,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,1,0,0.8871527777777778,0.017361111111111112,0.3958333333333333,0.3958333333333333,0.9548611111111112,0.8194444444444443,"{""both"": 0.9083333333333333, ""direct"": 0.99375, ""either"": 0.9375, ""opposes"": 0.9916666666666667, ""same"": 0.8166666666666667}",0.9409722222222222,0.016203703703703703,0.75,True,False,,,0,0,0.0,24.388537900999836,75.1033201947039,240.7257341192264
gemma,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,1,1,0.8888888888888888,0.02546296296296296,0.4166666666666667,0.4166666666666667,0.9375,0.8402777777777777,"{""both"": 0.9375, ""direct"": 0.9854166666666667, ""either"": 0.9208333333333333, ""opposes"": 0.9625, ""same"": 0.8291666666666667}",0.9270833333333334,0.011574074074074075,0.7291666666666666,True,True,0.01934908836829613,0.007944476582148733,720,2880,169.6928048310001,24.36721988299996,95.73880034787705,312.20228312387377
gemma,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,1,2,0.9079861111111112,0.041666666666666664,0.3958333333333333,0.3958333333333333,0.9409722222222223,0.875,"{""both"": 0.9208333333333333, ""direct"": 0.99375, ""either"": 0.8833333333333333, ""opposes"": 0.9916666666666667, ""same"": 0.825}",0.9652777777777777,0.015046296296296294,0.7916666666666666,True,False,0.006454266872639715,0.007173410707036964,1440,5760,170.13306599099997,24.38602228899981,85.02004393655984,272.9396300641523
gemma,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,0,0,0.9444444444444445,0.011574074074074075,0.5625,0.5625,0.9548611111111112,0.9340277777777778,"{""both"": 0.9458333333333333, ""direct"": 0.9958333333333333, ""either"": 0.9583333333333334, ""opposes"": 0.9916666666666667, ""same"": 0.8833333333333333}",0.9756944444444443,0.004629629629629629,0.875,True,False,,,0,0,0.0,24.357766379000168,79.3154899422115,249.41931296924275
gemma,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,0,1,0.9600694444444445,0.003472222222222222,0.6875,0.6875,0.9444444444444443,0.9756944444444445,"{""both"": 0.9916666666666667, ""direct"": 0.9979166666666667, ""either"": 0.9916666666666667, ""opposes"": 0.9958333333333333, ""same"": 0.9}",0.9548611111111112,0.004629629629629629,0.7916666666666666,True,False,0.0260510658977359,0.009340685423618803,720,2880,169.44532473699928,24.321738918999472,88.88864350182149,284.7738724833991
