actor,condition,program,changed,harm,conditional_harm,all24,all_program_questions,accuracy,accuracy_all_program_questions,touched_accuracy,other_address_error,preservation,nonaddressed_change,additional_accuracy,additional_rows,n_scenes,n_rows,disagreement_vs_single,disagreement_count,disagreement_denominator,mean_abs_dlogp_vs_single,energy,cast_error,commands,shared_from,shared_from_condition,by_family
gemma,INV_SPARSE_CONTINUE_s0,repeat4,0.9270833333333333,0.02734375,0.028125,0.59375,0.59375,0.947265625,0.947265625,0.9671875,0.035937500000000004,0.971875,0.0,,,64,1536,0.0013020833333333333,2,1536,0.0047864234301696245,44381.65930175781,0.53995265904814,4.0,"[""repeat2"", ""single""]","[""INV_SPARSE_CONTINUE_s0""]","{""both"": 0.921875, ""direct"": 0.984375, ""either"": 0.9375, ""opposes"": 0.9609375, ""same"": 0.89453125}"
gemma,INV_SPARSE_CONTINUE_s0,repeat8,0.92578125,0.02734375,0.028125,0.578125,0.578125,0.9466145833333333,0.9466145833333333,0.9656250000000001,0.035937500000000004,0.971875,0.0,,,64,1536,0.001953125,3,1536,0.005148344678513439,44381.659271240234,0.5399526692926884,8.0,"[""repeat2"", ""repeat4"", ""single""]","[""INV_SPARSE_CONTINUE_s0""]","{""both"": 0.91796875, ""direct"": 0.984375, ""either"": 0.9375, ""opposes"": 0.9609375, ""same"": 0.89453125}"
gemma,INV_SPARSE_CONTINUE_s0,restore,,0.018880208333333332,0.020849116161616162,0.609375,0.609375,0.953125,0.953125,0.9609375,0.05245535714285714,0.9791508838383839,0.0078125,,,64,1536,0.4615885416666667,709,1536,0.3830953777332269,35604.00030517578,0.5334739284589887,2.0,"[""noop""]","[""INV_SPARSE_CONTINUE_s0""]","{""both"": 0.9765625, ""direct"": 1.0, ""either"": 0.91796875, ""opposes"": 0.96875, ""same"": 0.85546875}"
gemma,INV_SPARSE_CONTINUE_s0,restore_after4,,0.018880208333333332,0.020849116161616162,0.59375,0.59375,0.953125,0.953125,0.9625,0.05357142857142857,0.9791508838383839,0.0078125,,,64,1536,0.4615885416666667,709,1536,0.3831915694846752,35604.0055847168,0.5334731070324779,5.0,"[""noop"", ""restore""]","[""INV_SPARSE_CONTINUE_s0""]","{""both"": 0.9765625, ""direct"": 1.0, ""either"": 0.921875, ""opposes"": 0.96875, ""same"": 0.8515625}"
gemma,INV_SPARSE_CONTINUE_s0,overwrite,0.9270833333333333,0.026041666666666668,0.0265625,0.59375,0.59375,0.9485677083333333,0.9485677083333333,0.96875,0.034375,0.9734375000000001,0.00390625,,,64,1536,0.0,0,1536,0.004449129796727884,44381.65319824219,0.5399524266831577,3.0,"[""repeat2"", ""repeat4"", ""repeat8"", ""single""]","[""INV_SPARSE_CONTINUE_s0""]","{""both"": 0.921875, ""direct"": 0.986328125, ""either"": 0.94140625, ""opposes"": 0.9609375, ""same"": 0.89453125}"
gemma,INV_SPARSE_CONTINUE_s0,AB,0.9104817708333333,0.03645833333333333,0.039322916666666666,0.5,0.5,0.9283854166666667,0.9283854166666667,0.9406249999999999,0.0234375,0.9606770833333333,0.0078125,,,64,1536,0.3522135416666667,541,1536,0.3323255767444652,88271.84796142578,0.5502244862727821,2.0,[],[],"{""both"": 0.86328125, ""direct"": 0.98828125, ""either"": 0.875, ""opposes"": 0.9921875, ""same"": 0.86328125}"
gemma,INV_SPARSE_CONTINUE_s0,BA,0.9104817708333333,0.03645833333333333,0.039322916666666666,0.5,0.5,0.9283854166666667,0.9283854166666667,0.9406249999999999,0.0234375,0.9606770833333333,0.0078125,,,64,1536,0.3522135416666667,541,1536,0.3323255767444652,88271.84796142578,0.5502244862727821,2.0,"[""AB""]","[""INV_SPARSE_CONTINUE_s0""]","{""both"": 0.86328125, ""direct"": 0.98828125, ""either"": 0.875, ""opposes"": 0.9921875, ""same"": 0.86328125}"
gemma,INV_SPARSE_CONTINUE_s0,ABC,0.9462890625,0.09895833333333333,0.11028138528138527,0.390625,0.34375,0.908203125,0.9116586538461539,0.8953125,0.096875,0.8897186147186147,0.01953125,0.953125,128,64,1664,0.4375,672,1536,0.580099031253507,132178.2646484375,0.5611913627944887,3.0,[],[],"{""both"": 0.921875, ""direct"": 0.970703125, ""either"": 0.75390625, ""opposes"": 0.98046875, ""same"": 0.8515625}"
gemma,INV_SPARSE_CONTINUE_s0,CBA,0.9462890625,0.09895833333333333,0.11028138528138527,0.390625,0.34375,0.908203125,0.9116586538461539,0.8953125,0.096875,0.8897186147186147,0.01953125,0.953125,128,64,1664,0.4375,672,1536,0.580099031253507,132178.2646484375,0.5611913627944887,3.0,"[""ABC""]","[""INV_SPARSE_CONTINUE_s0""]","{""both"": 0.921875, ""direct"": 0.970703125, ""either"": 0.75390625, ""opposes"": 0.98046875, ""same"": 0.8515625}"
gemma,INV_SPARSE_CONTINUE_s0,AB_cross,0.8971354166666666,0.03645833333333333,0.03697916666666667,0.40625,0.40625,0.9296875,0.9350961538461539,0.9265625,0.034375,0.9630208333333333,0.0078125,1.0,128,64,1664,0.061848958333333336,95,1536,0.2688178478586198,88466.36291503906,0.5527586173266172,2.0,[],[],"{""both"": 0.89453125, ""direct"": 0.984375, ""either"": 0.90625, ""opposes"": 0.95703125, ""same"": 0.8515625}"
