actor,condition,program,n,max_workspace,max_bf16,hash_equal_single_fraction
gemma,FROZEN_V3_INVARIANT_SET_s0,restore,64,9.680662155151367,9.66796875,0.0
gemma,FROZEN_V3_INVARIANT_SET_s0,restore_after4,64,9.680662155151367,9.66796875,0.0
gemma,FROZEN_V3_INVARIANT_SET_s1,AB,64,,,0.0
gemma,FROZEN_V3_INVARIANT_SET_s1,ABC,64,,,0.0
gemma,FROZEN_V3_INVARIANT_SET_s1,AB_cross,64,,,0.0
gemma,FROZEN_V3_INVARIANT_SET_s1,BA,64,,,0.0
gemma,FROZEN_V3_INVARIANT_SET_s1,CBA,64,,,0.0
gemma,FROZEN_V3_INVARIANT_SET_s1,noop,64,9.649435043334961,9.640625,0.0
gemma,FROZEN_V3_INVARIANT_SET_s1,overwrite,64,1.52587890625e-05,0.03125,0.171875
gemma,FROZEN_V3_INVARIANT_SET_s1,repeat2,64,1.52587890625e-05,0.03125,0.09375
gemma,FROZEN_V3_INVARIANT_SET_s1,repeat4,64,1.52587890625e-05,0.03125,0.09375
gemma,FROZEN_V3_INVARIANT_SET_s1,repeat8,64,2.6702880859375e-05,0.03125,0.015625
gemma,FROZEN_V3_INVARIANT_SET_s1,restore,64,9.649436950683594,9.640625,0.0
gemma,FROZEN_V3_INVARIANT_SET_s1,restore_after4,64,9.649435043334961,9.640625,0.0
gemma,INV_COMPLETE_SINGLE_s0,AB,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s0,ABC,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s0,AB_cross,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s0,BA,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s0,CBA,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s0,noop,64,12.72073745727539,12.71484375,0.0
gemma,INV_COMPLETE_SINGLE_s0,overwrite,64,1.52587890625e-05,0.015625,0.109375
gemma,INV_COMPLETE_SINGLE_s0,repeat2,64,1.52587890625e-05,0.03125,0.125
gemma,INV_COMPLETE_SINGLE_s0,repeat4,64,1.52587890625e-05,0.03125,0.125
gemma,INV_COMPLETE_SINGLE_s0,repeat8,64,2.6702880859375e-05,0.03125,0.046875
gemma,INV_COMPLETE_SINGLE_s0,restore,64,12.720736503601074,12.71484375,0.0
gemma,INV_COMPLETE_SINGLE_s0,restore_after4,64,12.720735549926758,12.71484375,0.0
gemma,INV_COMPLETE_SINGLE_s1,AB,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s1,ABC,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s1,AB_cross,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s1,BA,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s1,CBA,64,,,0.0
gemma,INV_COMPLETE_SINGLE_s1,noop,64,10.015939712524414,10.0,0.0
gemma,INV_COMPLETE_SINGLE_s1,overwrite,64,1.52587890625e-05,0.03125,0.046875
gemma,INV_COMPLETE_SINGLE_s1,repeat2,64,1.52587890625e-05,0.03125,0.109375
gemma,INV_COMPLETE_SINGLE_s1,repeat4,64,1.52587890625e-05,0.03125,0.15625
gemma,INV_COMPLETE_SINGLE_s1,repeat8,64,2.6702880859375e-05,0.03125,0.03125
gemma,INV_COMPLETE_SINGLE_s1,restore,64,10.015937805175781,10.0,0.0
gemma,INV_COMPLETE_SINGLE_s1,restore_after4,64,10.015937805175781,10.0,0.0
gemma,INV_SPARSE_CONTINUE_s0,AB,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s0,ABC,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s0,AB_cross,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s0,BA,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s0,CBA,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s0,noop,64,9.680662155151367,9.66796875,0.0
gemma,INV_SPARSE_CONTINUE_s0,overwrite,64,1.52587890625e-05,0.03125,0.125
gemma,INV_SPARSE_CONTINUE_s0,repeat2,64,1.52587890625e-05,0.015625,0.09375
gemma,INV_SPARSE_CONTINUE_s0,repeat4,64,1.52587890625e-05,0.015625,0.078125
gemma,INV_SPARSE_CONTINUE_s0,repeat8,64,2.6702880859375e-05,0.03125,0.046875
gemma,INV_SPARSE_CONTINUE_s0,restore,64,9.680662155151367,9.66796875,0.0
gemma,INV_SPARSE_CONTINUE_s0,restore_after4,64,9.680662155151367,9.66796875,0.0
gemma,INV_SPARSE_CONTINUE_s1,AB,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s1,ABC,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s1,AB_cross,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s1,BA,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s1,CBA,64,,,0.0
gemma,INV_SPARSE_CONTINUE_s1,noop,64,11.44703483581543,11.46875,0.0
gemma,INV_SPARSE_CONTINUE_s1,overwrite,64,1.52587890625e-05,0.015625,0.09375
gemma,INV_SPARSE_CONTINUE_s1,repeat2,64,1.52587890625e-05,0.03125,0.140625
gemma,INV_SPARSE_CONTINUE_s1,repeat4,64,1.52587890625e-05,0.03125,0.171875
