model,population,family,direction_id,dose,items,boards,mean_semantic_margin,mean_delta_from_zero,delta_ci_low,delta_ci_high,verdict_change_rate_from_zero
gemma,ALL,random_orthogonal,orthogonal_2026082101,-2.0,500,125,-0.995000000178814,0.2534999971985817,0.2292499970734119,0.2783749956980347,0.01
gemma,ALL,random_orthogonal,orthogonal_2026082101,-1.0,500,125,-1.127250000476837,0.1212499969005584,0.1066218707978725,0.1361249965548515,0.006
gemma,ALL,random_orthogonal,orthogonal_2026082101,-0.5,500,125,-1.1911249994039534,0.057374997973442,0.0471249978333711,0.0675000000059604,0.004
gemma,ALL,random_orthogonal,orthogonal_2026082101,0.0,500,125,-1.2484999973773956,0.0,0.0,0.0,0.0
gemma,ALL,random_orthogonal,orthogonal_2026082101,0.5,500,125,-1.307374999523163,-0.0588750021457672,-0.0686250034689903,-0.0487500009328126,0.008
gemma,ALL,random_orthogonal,orthogonal_2026082101,1.0,500,125,-1.3623750007152555,-0.1138750033378601,-0.1320031331539154,-0.0961218761444092,0.01
gemma,ALL,random_orthogonal,orthogonal_2026082101,2.0,500,125,-1.4570000004172323,-0.2085000030398368,-0.2471250012218952,-0.1701250035762787,0.014
gemma,ALL,random_orthogonal,orthogonal_2026082102,-2.0,500,125,-1.379250002026558,-0.1307500046491622,-0.1621250047922134,-0.0978750054478645,0.01
gemma,ALL,random_orthogonal,orthogonal_2026082102,-1.0,500,125,-1.325375001311302,-0.0768750039339065,-0.0935000031024217,-0.0607500020265579,0.004
gemma,ALL,random_orthogonal,orthogonal_2026082102,-0.5,500,125,-1.292000000178814,-0.0435000028014183,-0.0533749995097517,-0.0335000047251582,0.004
gemma,ALL,random_orthogonal,orthogonal_2026082102,0.0,500,125,-1.2484999973773956,0.0,0.0,0.0,0.0
gemma,ALL,random_orthogonal,orthogonal_2026082102,0.5,500,125,-1.2092499989271164,0.0392499984502792,0.0298750016331672,0.0487499984711408,0.0
gemma,ALL,random_orthogonal,orthogonal_2026082102,1.0,500,125,-1.166125,0.0823749973773956,0.0673749978542327,0.0977499955177307,0.004
gemma,ALL,random_orthogonal,orthogonal_2026082102,2.0,500,125,-1.066749999940395,0.1817499974370002,0.1567499965965748,0.2065031251668929,0.006
gemma,ALL,random_orthogonal,orthogonal_2026082103,-2.0,500,125,-1.2434999994635585,0.0049999979138374,-0.0306250031173229,0.0398781244784593,0.002
gemma,ALL,random_orthogonal,orthogonal_2026082103,-1.0,500,125,-1.238624998688698,0.0098749986886978,-0.0093781306803226,0.027999997857213,0.002
gemma,ALL,random_orthogonal,orthogonal_2026082103,-0.5,500,125,-1.2419999986886978,0.0064999986886978,-0.0051250026375055,0.0181250002533197,0.002
gemma,ALL,random_orthogonal,orthogonal_2026082103,0.0,500,125,-1.2484999973773956,0.0,0.0,0.0,0.0
gemma,ALL,random_orthogonal,orthogonal_2026082103,0.5,500,125,-1.2671249964237212,-0.0186249990463256,-0.0292499971419572,-0.0076249985575675,0.002
gemma,ALL,random_orthogonal,orthogonal_2026082103,1.0,500,125,-1.271749998807907,-0.0232500014305114,-0.0421250017404556,-0.0046250004708766,0.004
gemma,ALL,random_orthogonal,orthogonal_2026082103,2.0,500,125,-1.2762499984502793,-0.0277500010728836,-0.0650031279236078,0.0091249978631734,0.006
gemma,ALL,wrong_layer,frozen_dim,-2.0,500,125,-3.4178749982714653,-2.1693750008940698,-2.351756249806285,-1.990996875219047,0.11
gemma,ALL,wrong_layer,frozen_dim,-1.0,500,125,-2.2577500030994417,-1.009250005722046,-1.0966250032901763,-0.9281218834280968,0.04
gemma,ALL,wrong_layer,frozen_dim,-0.5,500,125,-1.7401249984502791,-0.4916250010728836,-0.5388781272381544,-0.451496874344349,0.018
gemma,ALL,wrong_layer,frozen_dim,0.0,500,125,-1.2484999973773956,0.0,0.0,0.0,0.0
gemma,ALL,wrong_layer,frozen_dim,0.5,500,125,-0.7356249988079071,0.5128749985694885,0.4672500006794929,0.562753123140335,0.036
gemma,ALL,wrong_layer,frozen_dim,1.0,500,125,-0.1873750009536743,1.0611249964237213,0.9774937458336354,1.148503121370077,0.066
gemma,ALL,wrong_layer,frozen_dim,2.0,500,125,1.258250000834465,2.506749998211861,2.319746872866154,2.694906248092651,0.142
