model,endpoint,population,family,estimate,ci_low,ci_high,monotonicity,items,permutation_p_greater,independent_clusters,pairs,baseline_flips,flips_rescued,stable_pairs_disrupted
gemma,rewrite_signed_movement,representative_primary,dim,0.9822916666977108,0.7344352234574033,1.2511783839048196,,80,,,286.0,30.0,18.0,4.0
gemma,rewrite_absolute_gap_reduction,representative_primary,dim,0.2895182316191494,0.0375000019224049,0.5579272459540514,,80,,,286.0,30.0,18.0,4.0
gemma,rewrite_signed_movement,representative_primary,wrong_layer,0.605794268893078,0.4819189365021884,0.7325903294988286,,80,,,286.0,30.0,9.0,2.0
gemma,rewrite_absolute_gap_reduction,representative_primary,wrong_layer,0.1597005226183682,0.0159814488848981,0.3107421893719583,,80,,,286.0,30.0,9.0,2.0
gemma,rewrite_signed_movement,representative_primary,random_orthogonal,-0.0098741335432148,-0.0194989713814316,0.0001521804470879,,80,,,286.0,30.0,1.0,0.6666666666666666
gemma,rewrite_absolute_gap_reduction,representative_primary,random_orthogonal,-0.0102647541556507,-0.0194664164532959,-0.0014531743025872,,80,,,286.0,30.0,1.0,0.6666666666666666
gemma,rewrite_dim_minus_controls_signed_movement,representative_primary,dim_minus_controls,0.6843315990227792,0.493858778977883,0.8902682854537202,,80,0.0001999600079984003,80.0,286.0,30.0,18.0,4.0
gemma,rewrite_signed_movement,enriched_diagnostic,dim,0.9131673149143656,0.2453430221416056,1.5630086225069435,,32,,,112.0,11.0,8.0,3.0
gemma,rewrite_absolute_gap_reduction,enriched_diagnostic,dim,0.4536946623896559,-0.0426778137761478,1.021492518329372,,32,,,112.0,11.0,8.0,3.0
gemma,rewrite_signed_movement,enriched_diagnostic,wrong_layer,0.5134277337541183,0.1174906449392438,0.8660766576106345,,32,,,112.0,11.0,3.0,0.0
gemma,rewrite_absolute_gap_reduction,enriched_diagnostic,wrong_layer,0.257405599579215,-0.0149759977124631,0.5586344423859064,,32,,,112.0,11.0,3.0,0.0
gemma,rewrite_signed_movement,enriched_diagnostic,random_orthogonal,-0.0222439223693476,-0.0366488954201082,-0.0071072055402004,,32,,,112.0,11.0,0.0,0.0
gemma,rewrite_absolute_gap_reduction,enriched_diagnostic,random_orthogonal,-0.00352647771231,-0.0211337620948648,0.0139160132986338,,32,,,112.0,11.0,0.0,0.0
gemma,rewrite_dim_minus_controls_signed_movement,enriched_diagnostic,dim_minus_controls,0.6675754092219803,0.1894229395085454,1.1439130899082448,,32,0.004799040191961607,32.0,112.0,11.0,8.0,3.0
gemma,rewrite_signed_movement,stronger_first_stage_sensitivity,dim,1.0007742098994084,0.6262668916502514,1.3999225783908555,,37,,,131.0,4.0,3.0,1.0
gemma,rewrite_absolute_gap_reduction,stronger_first_stage_sensitivity,dim,0.0598958347429026,-0.2962503457173436,0.4927646408075684,,37,,,131.0,4.0,3.0,1.0
gemma,rewrite_signed_movement,stronger_first_stage_sensitivity,wrong_layer,0.6173282618055472,0.4065315271954278,0.8222849774484832,,37,,,131.0,4.0,1.0,0.0
gemma,rewrite_absolute_gap_reduction,stronger_first_stage_sensitivity,wrong_layer,0.1397100217841766,-0.0722884948910759,0.382184332394385,,37,,,131.0,4.0,1.0,0.0
gemma,rewrite_signed_movement,stronger_first_stage_sensitivity,random_orthogonal,-0.0119885558614859,-0.0247049819437546,0.0006574892956349,,37,,,131.0,4.0,0.0,0.0
gemma,rewrite_absolute_gap_reduction,stronger_first_stage_sensitivity,random_orthogonal,-0.0164930548172097,-0.0305696320219396,-0.0033074080323179,,37,,,131.0,4.0,0.0,0.0
gemma,rewrite_dim_minus_controls_signed_movement,stronger_first_stage_sensitivity,dim_minus_controls,0.6981043569273776,0.4253486907232676,0.9931986690361848,,37,0.0001999600079984003,37.0,131.0,4.0,3.0,1.0
