actor,condition,program,n,max_workspace,mean_workspace,max_bf16,hash_equal_single_fraction
gemma,FROZEN_V2_CLAUSE_s0,noop,64,12.21875,11.364990234375,12.21875,0.0
gemma,FROZEN_V2_CLAUSE_s0,overwrite,64,12.0625,11.4635009765625,12.0625,0.0
gemma,FROZEN_V2_CLAUSE_s0,repeat2,64,8.3125,7.984375,8.3125,0.0
gemma,FROZEN_V2_CLAUSE_s0,repeat4,64,24.71875,23.66357421875,24.71875,0.0
gemma,FROZEN_V2_CLAUSE_s0,repeat8,64,57.40625,54.576171875,57.40625,0.0
gemma,FROZEN_V2_CLAUSE_s0,restore,64,8.359375,8.198739051818848,8.359375,0.0
gemma,FROZEN_V2_CLAUSE_s0,restore_after4,64,27.0625,24.612548828125,27.0625,0.0
gemma,FROZEN_V2_CLAUSE_s1,AB,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_s1,ABC,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_s1,AB_cross,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_s1,BA,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_s1,CBA,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_s1,noop,64,11.3125,10.9449462890625,11.3125,0.0
gemma,FROZEN_V2_CLAUSE_s1,overwrite,64,11.375,11.0179443359375,11.375,0.0
gemma,FROZEN_V2_CLAUSE_s1,repeat2,64,8.3125,7.548828125,8.3125,0.0
gemma,FROZEN_V2_CLAUSE_s1,repeat4,64,24.875,22.5654296875,24.875,0.0
gemma,FROZEN_V2_CLAUSE_s1,repeat8,64,57.59375,52.031494140625,57.59375,0.0
gemma,FROZEN_V2_CLAUSE_s1,restore,64,8.265625,7.57342529296875,8.265625,0.0
gemma,FROZEN_V2_CLAUSE_s1,restore_after4,64,26.4375,24.96826171875,26.4375,0.0
gemma,FROZEN_V2_TAIL_s0,AB,64,7.15625,6.7678937911987305,7.15625,0.0
gemma,FROZEN_V2_TAIL_s0,ABC,64,13.8046875,11.38007640838623,13.8046875,0.0
gemma,FROZEN_V2_TAIL_s0,AB_cross,64,7.3125,6.732710838317871,7.3125,0.0
gemma,FROZEN_V2_TAIL_s0,BA,64,8.328125,6.929874420166016,8.328125,0.0
gemma,FROZEN_V2_TAIL_s0,CBA,64,14.84375,11.670478820800781,14.84375,0.0
gemma,FROZEN_V2_TAIL_s0,noop,64,9.671875,9.519111633300781,9.671875,0.0
gemma,FROZEN_V2_TAIL_s0,overwrite,64,10.5625,9.43603515625,10.5625,0.0
