actor,condition,program,changed,harm,conditional_harm,all24,all_program_questions,accuracy,accuracy_all_program_questions,touched_accuracy,other_address_error,preservation,nonaddressed_change,additional_accuracy,n_scenes,disagreement_vs_single,mean_abs_dlogp_vs_single,energy,cast_error,commands,shared_from
gemma,FREE_OVERWRITE_s0,restore,,0.003255208333333333,0.003489377470355731,0.59375,0.59375,0.9563802083333334,0.9563802083333334,0.9421875,0.033482142857142856,0.9965106225296443,0.00390625,,64,0.4283854166666667,0.33436487279282306,87200.96875,0.5541142276488245,2.0,[]
gemma,FREE_OVERWRITE_s0,restore_after4,,0.0026041666666666665,0.0027791501976284585,0.609375,0.609375,0.9576822916666667,0.9576822916666667,0.94375,0.032366071428571425,0.9972208498023716,0.0,,64,0.4283854166666667,0.335120115440849,86851.55346679688,0.5409070854075253,5.0,[]
gemma,FREE_OVERWRITE_s0,overwrite,0.90625,0.015624999999999998,0.015624999999999998,0.546875,0.546875,0.9440104166666667,0.9440104166666667,0.9265625,0.01875,0.984375,0.01171875,,64,0.011067708333333334,0.047203804696219244,142831.70556640625,0.5815061433240771,3.0,[]
gemma,FREE_OVERWRITE_s0,AB,0.935546875,0.06575520833333333,0.06801215277777778,0.515625,0.515625,0.935546875,0.935546875,0.9140625,0.028645833333333332,0.9319878472222222,0.0078125,,64,0.33984375,0.2774624554632818,210687.9716796875,0.5726667465642095,2.0,[]
gemma,FREE_OVERWRITE_s0,BA,0.935546875,0.06575520833333333,0.06801215277777778,0.515625,0.515625,0.935546875,0.935546875,0.9140625,0.028645833333333332,0.9319878472222222,0.0078125,,64,0.33984375,0.2774624554632818,210687.9716796875,0.5726667465642095,2.0,"[""AB""]"
gemma,FREE_OVERWRITE_s0,ABC,0.9580078125,0.0634765625,0.07457019976551225,0.5,0.5,0.9361979166666667,0.9411057692307693,0.915625,0.05677083333333333,0.9254298002344877,0.015625,1.0,64,0.455078125,0.3603903029418068,277403.4833984375,0.5788335879333317,3.0,[]
gemma,FREE_OVERWRITE_s0,CBA,0.9580078125,0.0634765625,0.07457019976551225,0.5,0.5,0.9361979166666667,0.9411057692307693,0.915625,0.05677083333333333,0.9254298002344877,0.015625,1.0,64,0.455078125,0.3603903029418068,277403.4833984375,0.5788335879333317,3.0,"[""ABC""]"
gemma,FREE_OVERWRITE_s0,AB_cross,0.8177083333333333,0.05208333333333333,0.05208333333333333,0.1875,0.1875,0.8828125,0.891826923076923,0.8343749999999999,0.05468750000000001,0.9479166666666666,0.015625,1.0,64,0.09700520833333333,0.4328721487931233,212444.86669921875,0.5713528054766357,2.0,[]
gemma,FREE_OVERWRITE_s1,single,0.8294270833333333,0.01171875,0.01171875,0.375,0.375,0.9075520833333333,0.9075520833333333,0.8859375,0.014062500000000002,0.98828125,0.0234375,,64,0.0,0.0,50289.694915771484,0.5446506962180138,1.0,[]
gemma,FREE_OVERWRITE_s1,noop,,0.008463541666666666,0.009247732566346697,0.4375,0.4375,0.9361979166666667,0.9361979166666667,0.9156249999999999,0.04910714285714285,0.9907522674336533,0.01953125,,64,0.3671875,0.6747564859905543,43655.979064941406,0.5180128044448793,1.0,[]
gemma,FREE_OVERWRITE_s1,repeat2,0.7942708333333334,0.005208333333333333,0.005208333333333333,0.34375,0.34375,0.8932291666666667,0.8932291666666667,0.8671875,0.009375000000000001,0.9947916666666667,0.015625,,64,0.0234375,0.12166360978025399,37474.70523071289,0.5470621264539659,2.0,[]
gemma,FREE_OVERWRITE_s1,repeat4,0.80078125,0.005208333333333333,0.005208333333333333,0.34375,0.34375,0.896484375,0.896484375,0.871875,0.009375000000000001,0.9947916666666667,0.015625,,64,0.021484375,0.11195640116051446,38227.961822509766,0.5372989638708532,4.0,[]
gemma,FREE_OVERWRITE_s1,repeat8,0.80078125,0.005208333333333333,0.005208333333333333,0.34375,0.34375,0.896484375,0.896484375,0.871875,0.009375000000000001,0.9947916666666667,0.015625,,64,0.021484375,0.11148308406421255,38578.98439025879,0.5368473730050027,8.0,[]
gemma,FREE_OVERWRITE_s1,restore,,0.010416666666666666,0.011105278326745719,0.390625,0.390625,0.9166666666666666,0.9166666666666666,0.88125,0.05803571428571428,0.9888947216732543,0.0078125,,64,0.34375,0.7513239809896332,38422.28076171875,0.5299083357676864,2.0,[]
gemma,FREE_OVERWRITE_s1,restore_after4,,0.008463541666666666,0.009152153326745719,0.421875,0.421875,0.9244791666666667,0.9244791666666667,0.8953125,0.0546875,0.9908478466732543,0.0078125,,64,0.3515625,0.7186740561231595,38279.41320800781,0.5297594405710697,5.0,[]
gemma,FREE_OVERWRITE_s1,overwrite,0.8385416666666667,0.010416666666666666,0.010416666666666666,0.359375,0.359375,0.9127604166666667,0.9127604166666667,0.8953125,0.015625,0.9895833333333334,0.0234375,,64,0.01953125,0.08185789212979462,40806.69192504883,0.5514615550637245,3.0,[]
gemma,FREE_OVERWRITE_s1,AB,0.8675130208333333,0.072265625,0.07412574404761904,0.3125,0.3125,0.8841145833333333,0.8841145833333333,0.8265625000000001,0.010416666666666666,0.9258742559523809,0.015625,,64,0.3255208333333333,0.6078125511865858,113139.85766601562,0.5559111433103681,2.0,[]
gemma,FREE_OVERWRITE_s1,BA,0.8675130208333333,0.072265625,0.07412574404761904,0.3125,0.3125,0.8841145833333333,0.8841145833333333,0.8265625000000001,0.010416666666666666,0.9258742559523809,0.015625,,64,0.3255208333333333,0.6078125511865858,113139.85766601562,0.5559111433103681,2.0,"[""AB""]"
gemma,FREE_OVERWRITE_s1,ABC,0.8727213541666666,0.12858072916666666,0.1433430284992785,0.1875,0.1875,0.8470052083333333,0.8575721153846154,0.778125,0.13177083333333334,0.8566569715007215,0.0390625,0.984375,64,0.3873697916666667,0.9440053967117237,183609.6824951172,0.5645021316595376,3.0,[]
gemma,FREE_OVERWRITE_s1,CBA,0.8727213541666666,0.12858072916666666,0.1433430284992785,0.1875,0.1875,0.8470052083333333,0.8575721153846154,0.778125,0.13177083333333334,0.8566569715007215,0.0390625,0.984375,64,0.3873697916666667,0.9440053967117237,183609.6824951172,0.5645021316595376,3.0,"[""ABC""]"
gemma,FREE_OVERWRITE_s1,AB_cross,0.7786458333333333,0.040364583333333336,0.040364583333333336,0.203125,0.171875,0.869140625,0.8743990384615385,0.840625,0.043750000000000004,0.9596354166666667,0.03125,0.9375,64,0.07356770833333333,0.3639788865259419,120276.5517578125,0.5556771173141897,2.0,[]
