actor,condition,program,n,final_decision_accuracy,all_receivers_correct,complete_episode_correct,receiver_accuracy,receiver_failures,aggregator_unparsed,correct_when_majority_changes,correct_when_invariant,reports_reused
gemma,FROZEN_V2_CLAUSE_s1,AB,128,0.9296875,0.828125,0.828125,0.9374999999999999,0,0,0.875,0.984375,0
gemma,FROZEN_V2_CLAUSE_s1,repeat2,128,0.8828125,0.75,0.75,0.9140625,0,0,0.78125,0.984375,0
gemma,FROZEN_V2_CLAUSE_s1,restore,128,0.6640625,0.3828125,0.3828125,0.7942708333333333,0,0,,0.6640625,0
gemma,FROZEN_V2_CLAUSE_s1,single,128,0.984375,0.953125,0.9453125,0.984375,0,0,0.984375,0.984375,0
gemma,INVARIANT_SET_s0,AB,128,0.96875,0.96875,0.9609375,0.9895833333333333,0,0,0.984375,0.953125,0
gemma,INVARIANT_SET_s0,repeat2,128,0.9921875,0.9921875,0.984375,0.9947916666666667,0,0,0.984375,1.0,15
gemma,INVARIANT_SET_s0,restore,128,1.0,0.9921875,0.9921875,0.9973958333333333,0,0,,1.0,0
gemma,INVARIANT_SET_s0,single,128,0.9921875,0.9921875,0.984375,0.9947916666666667,0,0,0.984375,1.0,0
gemma,INVARIANT_SET_s1,AB,128,0.9765625,0.9609375,0.953125,0.9869791666666666,0,0,0.953125,1.0,0
gemma,INVARIANT_SET_s1,repeat2,128,0.984375,0.9921875,0.984375,0.9973958333333333,0,0,0.984375,0.984375,20
gemma,INVARIANT_SET_s1,restore,128,0.9921875,0.9765625,0.9765625,0.9921875,0,0,,0.9921875,0
gemma,INVARIANT_SET_s1,single,128,0.984375,0.9921875,0.984375,0.9973958333333333,0,0,0.984375,0.984375,0
gemma,NATURAL_FINAL_WORLD,AB,128,0.9921875,1.0,0.9921875,1.0,0,0,0.984375,1.0,0
gemma,NATURAL_FINAL_WORLD,repeat2,128,0.9921875,0.9921875,0.984375,0.9973958333333334,0,0,0.984375,1.0,128
gemma,NATURAL_FINAL_WORLD,restore,128,1.0,0.9765625,0.9765625,0.9921875,0,0,,1.0,0
gemma,NATURAL_FINAL_WORLD,single,128,0.9921875,0.9921875,0.984375,0.9973958333333334,0,0,0.984375,1.0,0
gemma,SOURCE,AB,128,1.0,0.9765625,0.9765625,0.9921875,0,0,1.0,1.0,128
gemma,SOURCE,repeat2,128,1.0,0.9765625,0.9765625,0.9921875,0,0,1.0,1.0,128
gemma,SOURCE,restore,128,1.0,0.9765625,0.9765625,0.9921875,0,0,,1.0,128
gemma,SOURCE,single,128,1.0,0.9765625,0.9765625,0.9921875,0,0,1.0,1.0,0
gemma,TEXT_CORRECTION_SEQ,AB,128,0.9765625,0.984375,0.9765625,0.9947916666666667,0,0,0.984375,0.96875,0
gemma,TEXT_CORRECTION_SEQ,repeat2,128,0.9921875,0.984375,0.9765625,0.9947916666666667,0,0,0.984375,1.0,0
gemma,TEXT_CORRECTION_SEQ,restore,128,0.9765625,0.9765625,0.9765625,0.9921875,0,0,,0.9765625,0
gemma,TEXT_CORRECTION_SEQ,single,128,0.9921875,0.9765625,0.96875,0.9921875,0,0,0.984375,1.0,0
qwen,AFFINE_CLAUSE_s0,AB,64,0.875,0.984375,0.859375,0.9947916666666666,0,0,0.9642857142857143,0.8055555555555556,0
qwen,AFFINE_CLAUSE_s0,repeat2,64,0.859375,0.75,0.6875,0.90625,0,0,1.0,0.7,0
qwen,AFFINE_CLAUSE_s0,restore,64,0.546875,0.4375,0.359375,0.7864583333333333,0,0,,0.546875,0
qwen,AFFINE_CLAUSE_s0,single,64,0.84375,0.9375,0.796875,0.9791666666666667,0,0,0.9411764705882353,0.7333333333333333,0
qwen,AFFINE_CLAUSE_s1,AB,64,0.859375,0.984375,0.859375,0.9947916666666667,0,0,0.9642857142857143,0.7777777777777778,0
qwen,AFFINE_CLAUSE_s1,repeat2,64,0.765625,0.765625,0.640625,0.921875,0,0,0.8529411764705882,0.6666666666666666,0
qwen,AFFINE_CLAUSE_s1,restore,64,0.671875,0.546875,0.484375,0.8333333333333334,0,0,,0.671875,0
qwen,AFFINE_CLAUSE_s1,single,64,0.84375,0.875,0.75,0.9583333333333333,0,0,0.9411764705882353,0.7333333333333333,0
qwen,CANONICAL_AFFINE_s0,AB,64,0.875,0.984375,0.859375,0.9947916666666666,0,0,0.9642857142857143,0.8055555555555556,0
qwen,CANONICAL_AFFINE_s0,repeat2,64,0.84375,0.9375,0.796875,0.9791666666666667,0,0,0.9411764705882353,0.7333333333333333,64
qwen,CANONICAL_AFFINE_s0,restore,64,0.859375,0.921875,0.796875,0.96875,0,0,,0.859375,0
qwen,CANONICAL_AFFINE_s0,single,64,0.84375,0.9375,0.796875,0.9791666666666667,0,0,0.9411764705882353,0.7333333333333333,0
qwen,CANONICAL_AFFINE_s1,AB,64,0.859375,0.984375,0.859375,0.9947916666666667,0,0,0.9642857142857143,0.7777777777777778,0
qwen,CANONICAL_AFFINE_s1,repeat2,64,0.84375,0.875,0.75,0.9583333333333333,0,0,0.9411764705882353,0.7333333333333333,64
qwen,CANONICAL_AFFINE_s1,restore,64,0.84375,0.90625,0.78125,0.9635416666666666,0,0,,0.84375,0
qwen,CANONICAL_AFFINE_s1,single,64,0.84375,0.875,0.75,0.9583333333333333,0,0,0.9411764705882353,0.7333333333333333,0
qwen,FREE_OVERWRITE_s0,AB,64,0.828125,0.8125,0.703125,0.9375,0,0,0.9642857142857143,0.7222222222222222,0
qwen,FREE_OVERWRITE_s0,repeat2,64,0.8125,0.78125,0.671875,0.9270833333333333,0,0,0.9117647058823529,0.7,0
qwen,FREE_OVERWRITE_s0,restore,64,0.875,0.953125,0.828125,0.984375,0,0,,0.875,0
qwen,FREE_OVERWRITE_s0,single,64,0.796875,0.828125,0.71875,0.9427083333333333,0,0,0.8823529411764706,0.7,0
qwen,FREE_OVERWRITE_s1,AB,64,0.828125,0.875,0.75,0.9583333333333333,0,0,0.9642857142857143,0.7222222222222222,0
qwen,FREE_OVERWRITE_s1,repeat2,64,0.8125,0.859375,0.71875,0.953125,0,0,0.9117647058823529,0.7,0
qwen,FREE_OVERWRITE_s1,restore,64,0.828125,0.875,0.765625,0.953125,0,0,,0.828125,0
qwen,FREE_OVERWRITE_s1,single,64,0.84375,0.875,0.734375,0.9583333333333334,0,0,0.9411764705882353,0.7333333333333333,0
qwen,INVARIANT_SET_s0,AB,64,0.859375,0.96875,0.84375,0.9895833333333334,0,0,0.9642857142857143,0.7777777777777778,0
qwen,INVARIANT_SET_s0,repeat2,64,0.84375,0.921875,0.78125,0.9739583333333334,0,0,0.9411764705882353,0.7333333333333333,9
qwen,INVARIANT_SET_s0,restore,64,0.875,0.9375,0.8125,0.9791666666666667,0,0,,0.875,0
qwen,INVARIANT_SET_s0,single,64,0.84375,0.921875,0.78125,0.9739583333333334,0,0,0.9411764705882353,0.7333333333333333,0
qwen,INVARIANT_SET_s1,AB,64,0.828125,0.890625,0.765625,0.9635416666666666,0,0,0.8928571428571429,0.7777777777777778,0
qwen,INVARIANT_SET_s1,repeat2,64,0.84375,0.921875,0.78125,0.9739583333333334,0,0,0.9411764705882353,0.7333333333333333,11
qwen,INVARIANT_SET_s1,restore,64,0.875,0.921875,0.796875,0.9739583333333334,0,0,,0.875,0
qwen,INVARIANT_SET_s1,single,64,0.84375,0.921875,0.78125,0.9739583333333334,0,0,0.9411764705882353,0.7333333333333333,0
qwen,NATURAL_FINAL_WORLD,AB,64,0.828125,0.9375,0.8125,0.9791666666666667,0,0,0.9642857142857143,0.7222222222222222,0
qwen,NATURAL_FINAL_WORLD,repeat2,64,0.84375,0.921875,0.78125,0.96875,0,0,0.9411764705882353,0.7333333333333333,64
qwen,NATURAL_FINAL_WORLD,restore,64,0.828125,0.90625,0.78125,0.96875,0,0,,0.828125,0
qwen,NATURAL_FINAL_WORLD,single,64,0.84375,0.921875,0.78125,0.96875,0,0,0.9411764705882353,0.7333333333333333,0
qwen,SOURCE,AB,64,0.828125,0.90625,0.78125,0.96875,0,0,1.0,0.6944444444444444,64
qwen,SOURCE,repeat2,64,0.828125,0.90625,0.78125,0.96875,0,0,0.9411764705882353,0.7,64
qwen,SOURCE,restore,64,0.828125,0.90625,0.78125,0.96875,0,0,,0.828125,64
qwen,SOURCE,single,64,0.828125,0.90625,0.78125,0.96875,0,0,0.9411764705882353,0.7,0
qwen,TEXT_CORRECTION_SEQ,AB,64,0.859375,0.984375,0.859375,0.9947916666666667,0,0,0.9642857142857143,0.7777777777777778,0
qwen,TEXT_CORRECTION_SEQ,repeat2,64,0.859375,0.875,0.765625,0.9583333333333333,0,0,1.0,0.7,0
qwen,TEXT_CORRECTION_SEQ,restore,64,0.875,0.84375,0.765625,0.9479166666666667,0,0,,0.875,0
qwen,TEXT_CORRECTION_SEQ,single,64,0.859375,0.875,0.765625,0.9583333333333333,0,0,1.0,0.7,0
