actor,arm,lr,seed,epoch,strength,cal_changed,cal_harm,cal_all24,cal_dir0,cal_dir1,cal_feasible,frontier,fit_changed,fit_harm,fit_loss,train_loss,reg_train,realized_norm,frobenius,visits,steps,train_seconds,eval_seconds,not_extended
gemma,CONTINUED_AFFINE,0.0003,0,3,1.0,0.9722222222222222,0.009259259259259259,0.8541666666666666,0.9861111111111112,0.9583333333333334,True,"[1, 0.9722222222222222]",1.0,0.0,0.000744670118774593,0.00029348348710603507,,101.2623494515336,297.6592063856255,1440,360,86.07344948299942,88.72199677299977,False
gemma,CONTINUED_AFFINE,0.0003,0,3,1.25,0.96875,0.03125,0.7708333333333334,0.9791666666666666,0.9583333333333334,True,"[1, 0.96875]",1.0,0.0,0.000744670118774593,0.00029348348710603507,,126.57719160186944,372.0716943450094,1440,360,86.07344948299942,106.45999130000018,False
gemma,CONTINUED_AFFINE,0.0003,0,4,0.5,0.3333333333333333,0.0,0.125,0.10416666666666667,0.5625,False,"[0, 0.3333333333333333]",1.0,0.0,0.0006404307698201389,0.00023262244520891627,,50.60446106488285,148.72698085417238,1440,360,86.56477253699995,53.36071419000109,False
gemma,CONTINUED_AFFINE,0.0003,0,4,0.75,0.892361111111111,0.0,0.6875,0.8402777777777777,0.9444444444444443,True,"[1, 0.892361111111111]",1.0,0.0,0.0006404307698201389,0.00023262244520891627,,75.90641856977511,223.08948036967288,1440,360,86.56477253699995,71.11376700100118,False
gemma,CONTINUED_AFFINE,0.0003,0,4,1.0,0.9722222222222223,0.004629629629629629,0.875,0.9861111111111112,0.9583333333333334,True,"[1, 0.9722222222222223]",1.0,0.0,0.0006404307698201389,0.00023262244520891627,,101.20819868017672,297.4515113330591,1440,360,86.56477253699995,88.86442332800107,False
gemma,CONTINUED_AFFINE,0.0003,0,4,1.25,0.9756944444444445,0.03009259259259259,0.7916666666666666,0.9930555555555557,0.9583333333333334,True,"[1, 0.9756944444444445]",1.0,0.0,0.0006404307698201389,0.00023262244520891627,,126.50991248715546,371.8133945416763,1440,360,86.56477253699995,106.59763052800008,False
gemma,CONTINUED_AFFINE,0.0003,1,1,0.5,0.2604166666666667,0.0023148148148148147,0.0625,0.09027777777777778,0.4305555555555555,False,"[0, 0.25578703703703703]",0.9965277777777778,0.0,0.00791604413317499,0.02629557339033555,,51.52776510065252,151.15373209238695,1440,360,86.30683325500104,53.17823955800122,False
gemma,CONTINUED_AFFINE,0.0003,1,1,0.75,0.7638888888888888,0.0011574074074074073,0.4791666666666667,0.5833333333333334,0.9444444444444443,False,"[0, 0.7615740740740741]",0.9965277777777778,0.0,0.00791604413317499,0.02629557339033555,,77.29018089250162,226.72639423789175,1440,360,86.30683325500104,70.90832736300035,False
gemma,CONTINUED_AFFINE,0.0003,1,1,1.0,0.9618055555555555,0.008101851851851851,0.8333333333333334,0.9583333333333334,0.9652777777777777,True,"[1, 0.9618055555555555]",0.9965277777777778,0.0,0.00791604413317499,0.02629557339033555,,103.05460539177723,302.3049757054971,1440,360,86.30683325500104,88.64058797899997,False
gemma,CONTINUED_AFFINE,0.0003,1,1,1.25,0.9722222222222222,0.026620370370370367,0.8125,0.9722222222222222,0.9722222222222222,True,"[1, 0.9722222222222222]",0.9965277777777778,0.0,0.00791604413317499,0.02629557339033555,,128.81869647027906,377.88248871016856,1440,360,86.30683325500104,106.55336655100109,False
gemma,CONTINUED_AFFINE,0.0003,1,2,0.5,0.2534722222222222,0.0023148148148148147,0.041666666666666664,0.09027777777777778,0.4166666666666667,False,"[0, 0.2488425925925926]",1.0,0.001736111111111111,0.0035179735003478324,0.004419086430789321,,51.58268156365223,151.30084981735027,2880,720,84.415500815001,53.18034787899887,False
gemma,CONTINUED_AFFINE,0.0003,1,2,0.75,0.8472222222222223,0.0011574074074074073,0.5625,0.75,0.9444444444444443,False,"[0, 0.8449074074074076]",1.0,0.001736111111111111,0.0035179735003478324,0.004419086430789321,,77.37369496033777,226.95043687844688,2880,720,84.415500815001,70.93340363199968,False
gemma,CONTINUED_AFFINE,0.0003,1,2,1.0,0.9618055555555555,0.021990740740740738,0.8125,0.9722222222222223,0.9513888888888888,True,"[1, 0.9618055555555555]",1.0,0.001736111111111111,0.0035179735003478324,0.004419086430789321,,103.16455901568355,302.5994211390021,2880,720,84.415500815001,88.65160238499993,False
gemma,CONTINUED_AFFINE,0.0003,1,2,1.25,0.9618055555555557,0.04050925925925926,0.75,0.9513888888888888,0.9722222222222222,True,"[1, 0.9618055555555557]",1.0,0.001736111111111111,0.0035179735003478324,0.004419086430789321,,128.95456750157723,378.2459263377225,2880,720,84.415500815001,106.38524498699917,False
gemma,CONTINUED_AFFINE,0.0003,1,3,0.5,0.24305555555555558,0.0023148148148148147,0.041666666666666664,0.08333333333333333,0.40277777777777773,False,"[0, 0.23842592592592596]",1.0,0.0,0.0013212753256450721,0.0012302833797346263,,51.593595065738526,151.33150665480488,4320,1080,86.75473060299919,53.18261851399984,False
gemma,CONTINUED_AFFINE,0.0003,1,3,0.75,0.7743055555555555,0.0011574074074074073,0.5208333333333334,0.6041666666666666,0.9444444444444443,False,"[0, 0.7719907407407407]",1.0,0.0,0.0013212753256450721,0.0012302833797346263,,77.39036539398725,226.99731027672507,4320,1080,86.75473060299919,70.91690046499934,False
gemma,CONTINUED_AFFINE,0.0003,1,3,1.0,0.954861111111111,0.01388888888888889,0.8333333333333334,0.9513888888888888,0.9583333333333334,True,"[1, 0.954861111111111]",1.0,0.0,0.0013212753256450721,0.0012302833797346263,,103.18689324915755,302.66228125904115,4320,1080,86.75473060299919,88.64140410499931,False
gemma,CONTINUED_AFFINE,0.0003,1,3,1.25,0.9722222222222223,0.028935185185185185,0.8125,0.9722222222222222,0.9722222222222222,True,"[1, 0.9722222222222223]",1.0,0.0,0.0013212753256450721,0.0012302833797346263,,128.98217085758998,378.32355937175987,4320,1080,86.75473060299919,106.50769609499912,False
gemma,CONTINUED_AFFINE,0.0003,1,4,0.5,0.2430555555555555,0.0023148148148148147,0.041666666666666664,0.0763888888888889,0.40972222222222215,False,"[0, 0.23842592592592587]",1.0,0.0,0.0007305759657229929,0.0004235494516150437,,51.590861617481224,151.32351267790403,5760,1440,86.60284669499924,53.11881099099992,False
gemma,CONTINUED_AFFINE,0.0003,1,4,0.75,0.7777777777777777,0.0,0.5416666666666666,0.611111111111111,0.9444444444444443,False,"[0, 0.7777777777777777]",1.0,0.0,0.0007305759657229929,0.0004235494516150437,,77.38763345094898,226.989490727814,5760,1440,86.60284669499924,70.85846268599926,False
gemma,CONTINUED_AFFINE,0.0003,1,4,1.0,0.9583333333333334,0.01388888888888889,0.8333333333333334,0.9583333333333334,0.9583333333333334,True,"[1, 0.9583333333333334]",1.0,0.0,0.0007305759657229929,0.0004235494516150437,,103.18321828639253,302.65177158334853,5760,1440,86.60284669499924,88.57716790700033,False
gemma,CONTINUED_AFFINE,0.0003,1,4,1.25,0.982638888888889,0.041666666666666664,0.7916666666666666,0.9930555555555557,0.9722222222222222,True,"[1, 0.982638888888889]",1.0,0.0,0.0007305759657229929,0.0004235494516150437,,128.97761727486173,378.310481079786,5760,1440,86.60284669499924,106.33119719599927,False
gemma,CONTINUED_AFFINE,0.001,0,1,0.5,0.21527777777777776,0.0,0.041666666666666664,0.09722222222222221,0.3333333333333333,False,"[0, 0.21527777777777776]",0.9756944444444443,0.004629629629629629,0.041742587115598126,0.04602608212426781,,51.55010511151135,151.2052755885259,1440,360,84.78821907700058,53.25193807999949,True
