actor,arm,lr,seed,epoch,strength,cal_changed,cal_harm,cal_all24,cal_dir0,cal_dir1,cal_feasible,frontier,fit_changed,fit_harm,fit_loss,train_loss,saturation,realized_norm,frobenius,visits,steps,train_seconds,eval_seconds,not_extended
gemma,QUERY_CLAUSE,0.0003,0,1,0.5,0.39583333333333326,0.010416666666666666,0.15625,0.36458333333333337,0.42708333333333326,False,"[0, 0.37499999999999994]",0.9670138888888888,0.001736111111111111,0.04466302006785301,0.07154562802095117,0.8611639708214399,49.24616585390908,146.80517649075364,1440,360,177.53088882799966,104.35151249499904,True
gemma,QUERY_CLAUSE,0.0003,0,1,0.75,0.8645833333333333,0.010416666666666666,0.59375,0.8020833333333333,0.9270833333333333,True,"[1, 0.8645833333333333]",0.9670138888888888,0.001736111111111111,0.04466302006785301,0.07154562802095117,0.8611639708214399,73.86808284941173,220.20448089456022,1440,360,177.53088882799966,130.43215334699926,True
gemma,QUERY_CLAUSE,0.0003,0,1,1.0,0.9427083333333333,0.010416666666666666,0.71875,0.9270833333333333,0.9583333333333334,True,"[1, 0.9427083333333333]",0.9670138888888888,0.001736111111111111,0.04466302006785301,0.07154562802095117,0.8611639708214399,98.49034453028725,293.6046900907809,1440,360,177.53088882799966,156.49181990899888,True
gemma,QUERY_CLAUSE,0.0003,0,1,1.25,0.921875,0.015625,0.65625,0.90625,0.9375,True,"[1, 0.921875]",0.9670138888888888,0.001736111111111111,0.04466302006785301,0.07154562802095117,0.8611639708214399,123.11224926131112,367.00384769431037,1440,360,177.53088882799966,182.56390827499854,True
gemma,QUERY_CLAUSE,0.0003,0,2,0.5,0.39583333333333326,0.015625,0.15625,0.35416666666666663,0.4375,False,"[0, 0.36458333333333326]",1.0,0.0,0.0023974476015521558,0.012016601758604237,0.8356327307326356,49.92287217617035,148.40031702666434,2880,720,175.9114842910003,104.22983801700138,True
gemma,QUERY_CLAUSE,0.0003,0,2,0.75,0.9322916666666666,0.015625,0.71875,0.8854166666666666,0.9791666666666666,True,"[1, 0.9322916666666666]",1.0,0.0,0.0023974476015521558,0.012016601758604237,0.8356327307326356,74.8833050264631,222.5975650091873,2880,720,175.9114842910003,130.24292749800043,True
gemma,QUERY_CLAUSE,0.0003,0,2,1.0,0.9635416666666666,0.026041666666666664,0.75,0.9270833333333334,1.0,True,"[1, 0.9635416666666666]",1.0,0.0,0.0023974476015521558,0.012016601758604237,0.8356327307326356,99.84368149348667,296.79451526416887,2880,720,175.9114842910003,156.29391518500051,True
gemma,QUERY_CLAUSE,0.0003,0,2,1.25,0.953125,0.046875,0.71875,0.90625,1.0,True,"[1, 0.953125]",1.0,0.0,0.0023974476015521558,0.012016601758604237,0.8356327307326356,124.80400909151349,370.9913983083337,2880,720,175.9114842910003,182.47473963500124,True
gemma,QUERY_CLAUSE,0.001,0,1,0.5,0.296875,0.010416666666666666,0.09375,0.32291666666666663,0.2708333333333333,False,"[0, 0.2760416666666667]",0.9427083333333334,0.0011574074074074073,0.09826438319376443,0.051388007248776076,0.9474310180780209,50.409048499152775,149.71971920267833,1440,360,173.54021731600005,104.35015849000047,False
gemma,QUERY_CLAUSE,0.001,0,1,0.75,0.8229166666666667,0.010416666666666666,0.375,0.875,0.7708333333333333,False,"[0, 0.8020833333333334]",0.9427083333333334,0.0011574074074074073,0.09826438319376443,0.051388007248776076,0.9474310180780209,75.61173957620348,224.57413320054138,1440,360,173.54021731600005,130.43050779700025,False
gemma,QUERY_CLAUSE,0.001,0,1,1.0,0.9583333333333334,0.019097222222222224,0.65625,0.9270833333333334,0.9895833333333334,True,"[1, 0.9583333333333334]",0.9427083333333334,0.0011574074074074073,0.09826438319376443,0.051388007248776076,0.9474310180780209,100.81536941346668,299.43148815943863,1440,360,173.54021731600005,156.40729585600093,False
gemma,QUERY_CLAUSE,0.001,0,1,1.25,0.96875,0.024305555555555556,0.6875,0.9375,1.0,True,"[1, 0.96875]",0.9427083333333334,0.0011574074074074073,0.09826438319376443,0.051388007248776076,0.9474310180780209,126.01874239422025,374.28799794645676,1440,360,173.54021731600005,182.50288339500003,False
gemma,QUERY_CLAUSE,0.001,0,2,0.5,0.4114583333333333,0.015625,0.15625,0.33333333333333337,0.4895833333333333,False,"[0, 0.3802083333333333]",1.0,0.0,0.002434617910799059,0.011958224710704396,0.9783539486203615,51.4625627722059,152.21230555071185,2880,720,173.39438733099996,104.2594819140013,False
gemma,QUERY_CLAUSE,0.001,0,2,0.75,0.90625,0.010416666666666666,0.71875,0.8125,1.0,True,"[1, 0.90625]",1.0,0.0,0.002434617910799059,0.011958224710704396,0.9783539486203615,77.19227832794189,228.31379184356038,2880,720,173.39438733099996,130.29176977099996,False
gemma,QUERY_CLAUSE,0.001,0,2,1.0,0.96875,0.026041666666666664,0.78125,0.9375,1.0,True,"[1, 0.96875]",1.0,0.0,0.002434617910799059,0.011958224710704396,0.9783539486203615,102.92262418565296,304.4171507389042,2880,720,173.39438733099996,156.47048605200143,False
gemma,QUERY_CLAUSE,0.001,0,2,1.25,0.9791666666666667,0.020833333333333332,0.78125,0.9583333333333334,1.0,True,"[1, 0.9791666666666667]",1.0,0.0,0.002434617910799059,0.011958224710704396,0.9783539486203615,128.65341155370078,380.5218696143946,2880,720,173.39438733099996,182.49302910400002,False
gemma,QUERY_CLAUSE,0.001,1,1,0.5,0.453125,0.010416666666666666,0.15625,0.24999999999999997,0.65625,False,"[0, 0.4322916666666667]",0.986111111111111,0.006365740740740741,0.03216917260691364,0.057843039188325444,0.9869965112591182,51.593959633055185,152.52093319318175,1440,360,173.57835931099908,104.0361435979994,False
gemma,QUERY_CLAUSE,0.001,1,1,0.75,0.8645833333333333,0.020833333333333332,0.53125,0.7708333333333333,0.9583333333333333,False,"[0, 0.8229166666666666]",0.986111111111111,0.006365740740740741,0.03216917260691364,0.057843039188325444,0.9869965112591182,77.3906648381551,228.78053900187803,1440,360,173.57835931099908,130.23772634299894,False
gemma,QUERY_CLAUSE,0.001,1,1,1.0,0.9270833333333333,0.020833333333333332,0.6875,0.8645833333333333,0.9895833333333334,True,"[1, 0.9270833333333333]",0.986111111111111,0.006365740740740741,0.03216917260691364,0.057843039188325444,0.9869965112591182,103.1857826941354,305.03547164780554,1440,360,173.57835931099908,156.41441807499905,False
